iteration,X,Y
494,102.47,-2.442656605
495,102.475,-2.442025503
496,102.48,-2.441394467
497,102.485,-2.440763496
498,102.49,-2.44013259
499,102.495,-2.439501749
500,102.5,-2.438870973
501,102.505,-2.438240262
502,102.51,-2.437609616
503,102.515,-2.436979036
504,102.52,-2.43634852
505,102.525,-2.43571807
506,102.53,-2.435087684
507,102.535,-2.434457364
508,102.54,-2.433827108
509,102.545,-2.433196918
510,102.55,-2.432566792
511,102.555,-2.431936732
512,102.56,-2.431306736
513,102.565,-2.430676805
514,102.57,-2.43004694
515,102.575,-2.429417139
516,102.58,-2.428787403
517,102.585,-2.428157732
518,102.59,-2.427528126
519,102.595,-2.426898585
520,102.6,-2.426269109
521,102.605,-2.425639698
522,102.61,-2.425010351
523,102.615,-2.42438107
524,102.62,-2.423751853
525,102.625,-2.423122701
526,102.63,-2.422493614
527,102.635,-2.421864592
528,102.64,-2.421235634
529,102.645,-2.420606742
530,102.65,-2.419977914
531,102.655,-2.419349151
532,102.66,-2.418720452
533,102.665,-2.418091819
534,102.67,-2.41746325
535,102.675,-2.416834746
536,102.68,-2.416206307
537,102.685,-2.415577932
538,102.69,-2.414949622
539,102.695,-2.414321377
540,102.7,-2.413693196
541,102.705,-2.41306508
542,102.71,-2.412437029
543,102.715,-2.411809042
544,102.72,-2.41118112
545,102.725,-2.410553263
546,102.73,-2.40992547
547,102.735,-2.409297742
548,102.74,-2.408670079
549,102.745,-2.40804248
550,102.75,-2.407414946
551,102.755,-2.406787476
552,102.76,-2.406160071
553,102.765,-2.40553273
554,102.77,-2.404905454
555,102.775,-2.404278242
556,102.78,-2.403651095
557,102.785,-2.403024013
558,102.79,-2.402396995
559,102.795,-2.401770041
560,102.8,-2.401143152
561,102.805,-2.400516328
562,102.81,-2.399889568
563,102.815,-2.399262872
564,102.82,-2.398636241
565,102.825,-2.398009674
566,102.83,-2.397383172
567,102.835,-2.396756734
568,102.84,-2.39613036
569,102.845,-2.395504051
570,102.85,-2.394877806
571,102.855,-2.394251626
572,102.86,-2.39362551
573,102.865,-2.392999458
574,102.87,-2.392373471
575,102.875,-2.391747548
576,102.88,-2.391121689
577,102.885,-2.390495894
578,102.89,-2.389870164
579,102.895,-2.389244498
580,102.9,-2.388618897
581,102.905,-2.38799336
582,102.91,-2.387367887
583,102.915,-2.386742478
584,102.92,-2.386117133
585,102.925,-2.385491853
586,102.93,-2.384866637
587,102.935,-2.384241485
588,102.94,-2.383616397
589,102.945,-2.382991374
590,102.95,-2.382366415
591,102.955,-2.38174152
592,102.96,-2.381116689
593,102.965,-2.380491922
594,102.97,-2.379867219
595,102.975,-2.379242581
596,102.98,-2.378618006
597,102.985,-2.377993496
598,102.99,-2.37736905
599,102.995,-2.376744667
600,103,-2.376120349
601,103.005,-2.375496095
602,103.01,-2.374871906
603,103.015,-2.37424778
604,103.02,-2.373623718
605,103.025,-2.37299972
606,103.03,-2.372375786
607,103.035,-2.371751916
608,103.04,-2.371128111
609,103.045,-2.370504369
610,103.05,-2.369880691
611,103.055,-2.369257077
612,103.06,-2.368633527
613,103.065,-2.368010041
614,103.07,-2.367386619
615,103.075,-2.366763261
616,103.08,-2.366139967
617,103.085,-2.365516737
618,103.09,-2.364893571
619,103.095,-2.364270468
620,103.1,-2.363647429
621,103.105,-2.363024455
622,103.11,-2.362401544
623,103.115,-2.361778697
624,103.12,-2.361155914
625,103.125,-2.360533194
626,103.13,-2.359910539
627,103.135,-2.359287947
628,103.14,-2.358665419
629,103.145,-2.358042955
630,103.15,-2.357420555
631,103.155,-2.356798218
632,103.16,-2.356175945
633,103.165,-2.355553736
634,103.17,-2.354931591
635,103.175,-2.35430951
636,103.18,-2.353687492
637,103.185,-2.353065538
638,103.19,-2.352443647
639,103.195,-2.35182182
640,103.2,-2.351200057
641,103.205,-2.350578358
642,103.21,-2.349956722
