iteration,X,Y
354,-0.7876,-27.17530923
355,-0.787,-27.15140411
356,-0.7864,-27.12751081
357,-0.7858,-27.10362933
358,-0.7852,-27.07975968
359,-0.7846,-27.05590184
360,-0.784,-27.03205581
361,-0.7834,-27.00822159
362,-0.7828,-26.98439918
363,-0.7822,-26.96058858
364,-0.7816,-26.93678978
365,-0.781,-26.91300278
366,-0.7804,-26.88922758
367,-0.7798,-26.86546418
368,-0.7792,-26.84171256
369,-0.7786,-26.81797274
370,-0.778,-26.7942447
371,-0.7774,-26.77052845
372,-0.7768,-26.74682399
373,-0.7762,-26.7231313
374,-0.7756,-26.69945039
375,-0.775,-26.67578125
376,-0.7744,-26.65212389
377,-0.7738,-26.62847829
378,-0.7732,-26.60484446
379,-0.7726,-26.5812224
380,-0.772,-26.5576121
381,-0.7714,-26.53401355
382,-0.7708,-26.51042677
383,-0.7702,-26.48685173
384,-0.7696,-26.46328845
385,-0.769,-26.43973692
386,-0.7684,-26.41619713
387,-0.7678,-26.39266909
388,-0.7672,-26.36915278
389,-0.7666,-26.34564822
390,-0.766,-26.32215539
391,-0.7654,-26.2986743
392,-0.7648,-26.27520493
393,-0.7642,-26.25174729
394,-0.7636,-26.22830138
395,-0.763,-26.20486719
396,-0.7624,-26.18144473
397,-0.7618,-26.15803397
398,-0.7612,-26.13463494
399,-0.7606,-26.11124761
400,-0.76,-26.087872
401,-0.7594,-26.06450809
402,-0.7588,-26.04115589
403,-0.7582,-26.01781539
404,-0.7576,-25.99448659
405,-0.757,-25.97116949
406,-0.7564,-25.94786408
407,-0.7558,-25.92457036
408,-0.7552,-25.90128833
409,-0.7546,-25.87801799
410,-0.754,-25.85475933
411,-0.7534,-25.83151235
412,-0.7528,-25.80827705
413,-0.7522,-25.78505343
414,-0.7516,-25.76184148
415,-0.751,-25.7386412
416,-0.7504,-25.71545259
417,-0.7498,-25.69227565
418,-0.7492,-25.66911037
419,-0.7486,-25.64595675
420,-0.748,-25.62281478
421,-0.7474,-25.59968448
422,-0.7468,-25.57656582
423,-0.7462,-25.55345882
424,-0.7456,-25.53036346
425,-0.745,-25.50727975
426,-0.7444,-25.48420768
427,-0.7438,-25.46114725
428,-0.7432,-25.43809846
429,-0.7426,-25.4150613
430,-0.742,-25.39203578
431,-0.7414,-25.36902188
432,-0.7408,-25.34601961
433,-0.7402,-25.32302897
434,-0.7396,-25.30004994
435,-0.739,-25.27708254
436,-0.7384,-25.25412675
437,-0.7378,-25.23118258
438,-0.7372,-25.20825001
439,-0.7366,-25.18532906
440,-0.736,-25.16241971
441,-0.7354,-25.13952197
442,-0.7348,-25.11663582
443,-0.7342,-25.09376128
444,-0.7336,-25.07089833
445,-0.733,-25.04804697
446,-0.7324,-25.02520721
447,-0.7318,-25.00237903
448,-0.7312,-24.97956244
449,-0.7306,-24.95675743
450,-0.73,-24.933964
451,-0.7294,-24.91118215
452,-0.7288,-24.88841187
453,-0.7282,-24.86565317
454,-0.7276,-24.84290603
455,-0.727,-24.82017047
456,-0.7264,-24.79744646
457,-0.7258,-24.77473402
458,-0.7252,-24.75203314
459,-0.7246,-24.72934382
460,-0.724,-24.70666605
461,-0.7234,-24.68399983
462,-0.7228,-24.66134516
463,-0.7222,-24.63870204
464,-0.7216,-24.61607046
465,-0.721,-24.59345042
466,-0.7204,-24.57084192
467,-0.7198,-24.54824496
468,-0.7192,-24.52565953
469,-0.7186,-24.50308563
470,-0.718,-24.48052326
471,-0.7174,-24.45797242
472,-0.7168,-24.4354331
473,-0.7162,-24.4129053
474,-0.7156,-24.39038902
475,-0.715,-24.36788425
476,-0.7144,-24.345391
477,-0.7138,-24.32290925
478,-0.7132,-24.30043902
479,-0.7126,-24.27798028
480,-0.712,-24.25553306
481,-0.7114,-24.23309733
482,-0.7108,-24.2106731
483,-0.7102,-24.18826036
484,-0.7096,-24.16585911
485,-0.709,-24.14346936
486,-0.7084,-24.12109109
487,-0.7078,-24.09872431
488,-0.7072,-24.076369
489,-0.7066,-24.05402518
490,-0.706,-24.03169283
491,-0.7054,-24.00937196
492,-0.7048,-23.98706256
493,-0.7042,-23.96476462
494,-0.7036,-23.94247816
495,-0.703,-23.92020315
496,-0.7024,-23.89793961
497,-0.7018,-23.87568753
498,-0.7012,-23.8534469
499,-0.7006,-23.83121772
500,-0.7,-23.809
501,-0.6994,-23.78679372
502,-0.6988,-23.76459889
503,-0.6982,-23.7424155
504,-0.6976,-23.72024356
505,-0.697,-23.69808305
506,-0.6964,-23.67593397
507,-0.6958,-23.65379633
508,-0.6952,-23.63167011
509,-0.6946,-23.60955533
510,-0.694,-23.58745197
511,-0.6934,-23.56536003
512,-0.6928,-23.54327951
513,-0.6922,-23.52121041
514,-0.6916,-23.49915272
515,-0.691,-23.47710644
516,-0.6904,-23.45507157
517,-0.6898,-23.43304811
518,-0.6892,-23.41103606
519,-0.6886,-23.3890354
520,-0.688,-23.36704614
521,-0.6874,-23.34506828
522,-0.6868,-23.32310182
523,-0.6862,-23.30114674
524,-0.6856,-23.27920305
525,-0.685,-23.25727075
526,-0.6844,-23.23534983
527,-0.6838,-23.21344029
528,-0.6832,-23.19154213
529,-0.6826,-23.16965535
530,-0.682,-23.14777994
531,-0.6814,-23.12591589
532,-0.6808,-23.10406322
533,-0.6802,-23.08222191
534,-0.6796,-23.06039196
535,-0.679,-23.03857338
536,-0.6784,-23.01676615
537,-0.6778,-22.99497027
538,-0.6772,-22.97318575
539,-0.6766,-22.95141258
540,-0.676,-22.92965075
541,-0.6754,-22.90790027
542,-0.6748,-22.88616113
543,-0.6742,-22.86443333
544,-0.6736,-22.84271686
545,-0.673,-22.82101173
546,-0.6724,-22.79931793
547,-0.6718,-22.77763546
548,-0.6712,-22.75596432
549,-0.6706,-22.7343045
550,-0.67,-22.712656
551,-0.6694,-22.69101882
552,-0.6688,-22.66939295
553,-0.6682,-22.6477784
554,-0.6676,-22.62617516
555,-0.667,-22.60458323
556,-0.6664,-22.5830026
557,-0.6658,-22.56143327
558,-0.6652,-22.53987525
559,-0.6646,-22.51832852
560,-0.664,-22.49679309
561,-0.6634,-22.47526895
562,-0.6628,-22.4537561
563,-0.6622,-22.43225454
564,-0.6616,-22.41076426
565,-0.661,-22.38928526
566,-0.6604,-22.36781755
567,-0.6598,-22.34636111
568,-0.6592,-22.32491594
569,-0.6586,-22.30348205
570,-0.658,-22.28205942
571,-0.6574,-22.26064807
572,-0.6568,-22.23924797
573,-0.6562,-22.21785914
574,-0.6556,-22.19648157
575,-0.655,-22.17511525
576,-0.6544,-22.15376019
577,-0.6538,-22.13241637
578,-0.6532,-22.11108381
579,-0.6526,-22.08976249
580,-0.652,-22.06845242
581,-0.6514,-22.04715358
582,-0.6508,-22.02586599
583,-0.6502,-22.00458962
584,-0.6496,-21.9833245
585,-0.649,-21.9620706
586,-0.6484,-21.94082793
587,-0.6478,-21.91959648
588,-0.6472,-21.89837626
589,-0.6466,-21.87716726
590,-0.646,-21.85596947
591,-0.6454,-21.8347829
592,-0.6448,-21.81360754
593,-0.6442,-21.79244339
594,-0.6436,-21.77129045
595,-0.643,-21.75014871
596,-0.6424,-21.72901818
597,-0.6418,-21.70789884
598,-0.6412,-21.6867907
599,-0.6406,-21.66569375
600,-0.64,-21.644608
601,-0.6394,-21.62353343
602,-0.6388,-21.60247005
603,-0.6382,-21.58141786
604,-0.6376,-21.56037684
605,-0.637,-21.53934701
606,-0.6364,-21.51832835
607,-0.6358,-21.49732086
608,-0.6352,-21.47632454
609,-0.6346,-21.45533939
610,-0.634,-21.43436541
611,-0.6334,-21.41340259
612,-0.6328,-21.39245093
613,-0.6322,-21.37151042
614,-0.6316,-21.35058108
615,-0.631,-21.32966288
616,-0.6304,-21.30875584
617,-0.6298,-21.28785994
618,-0.6292,-21.26697519
619,-0.6286,-21.24610158
620,-0.628,-21.2252391
621,-0.6274,-21.20438777
622,-0.6268,-21.18354757
623,-0.6262,-21.1627185
624,-0.6256,-21.14190056
625,-0.625,-21.12109375
626,-0.6244,-21.10029806
627,-0.6238,-21.07951349
628,-0.6232,-21.05874005
629,-0.6226,-21.03797771
630,-0.622,-21.0172265
631,-0.6214,-20.99648639
632,-0.6208,-20.97575739
633,-0.6202,-20.9550395
634,-0.6196,-20.93433271
635,-0.619,-20.91363702
636,-0.6184,-20.89295243
637,-0.6178,-20.87227893
638,-0.6172,-20.85161653
639,-0.6166,-20.83096522
640,-0.616,-20.81032499
641,-0.6154,-20.78969585
642,-0.6148,-20.7690778
643,-0.6142,-20.74847082
644,-0.6136,-20.72787492
645,-0.613,-20.70729009
646,-0.6124,-20.68671634
647,-0.6118,-20.66615366
648,-0.6112,-20.64560204
649,-0.6106,-20.62506149
650,-0.61,-20.604532
651,-0.6094,-20.58401357
652,-0.6088,-20.56350619
653,-0.6082,-20.54300987
654,-0.6076,-20.52252461
655,-0.607,-20.50205039
656,-0.6064,-20.48158721
657,-0.6058,-20.46113508
658,-0.6052,-20.44069399
659,-0.6046,-20.42026394
660,-0.604,-20.39984493
661,-0.6034,-20.37943695
662,-0.6028,-20.35904
663,-0.6022,-20.33865407
664,-0.6016,-20.31827918
665,-0.601,-20.2979153
666,-0.6004,-20.27756245
667,-0.5998,-20.25722061
668,-0.5992,-20.23688979
669,-0.5986,-20.21656998
670,-0.598,-20.19626118
671,-0.5974,-20.17596339
672,-0.5968,-20.15567661
673,-0.5962,-20.13540082
674,-0.5956,-20.11513604
675,-0.595,-20.09488225
676,-0.5944,-20.07463946
677,-0.5938,-20.05440766
678,-0.5932,-20.03418684
679,-0.5926,-20.01397702
680,-0.592,-19.99377818
681,-0.5914,-19.97359032
682,-0.5908,-19.95341343
683,-0.5902,-19.93324753
684,-0.5896,-19.9130926
685,-0.589,-19.89294864
686,-0.5884,-19.87281565
687,-0.5878,-19.85269362
688,-0.5872,-19.83258256
689,-0.5866,-19.81248246
690,-0.586,-19.79239331
691,-0.5854,-19.77231512
692,-0.5848,-19.75224789
693,-0.5842,-19.7321916
694,-0.5836,-19.71214627
695,-0.583,-19.69211187
696,-0.5824,-19.67208842
697,-0.5818,-19.65207591
698,-0.5812,-19.63207434
699,-0.5806,-19.61208371
700,-0.58,-19.592104
701,-0.5794,-19.57213522
702,-0.5788,-19.55217738
703,-0.5782,-19.53223045
704,-0.5776,-19.51229445
705,-0.577,-19.49236937
706,-0.5764,-19.4724552
707,-0.5758,-19.45255195
708,-0.5752,-19.43265961
709,-0.5746,-19.41277817
710,-0.574,-19.39290765
711,-0.5734,-19.37304803
712,-0.5728,-19.3531993
713,-0.5722,-19.33336148
714,-0.5716,-19.31353456
715,-0.571,-19.29371852
716,-0.5704,-19.27391338
717,-0.5698,-19.25411912
718,-0.5692,-19.23433576
719,-0.5686,-19.21456327
720,-0.568,-19.19480166
721,-0.5674,-19.17505094
722,-0.5668,-19.15531108
723,-0.5662,-19.1355821
724,-0.5656,-19.11586399
725,-0.565,-19.09615675
726,-0.5644,-19.07646037
727,-0.5638,-19.05677486
728,-0.5632,-19.0371002
729,-0.5626,-19.0174364
730,-0.562,-18.99778346
731,-0.5614,-18.97814136
732,-0.5608,-18.95851012
733,-0.5602,-18.93888972
734,-0.5596,-18.91928017
735,-0.559,-18.89968146
736,-0.5584,-18.88009359
737,-0.5578,-18.86051655
738,-0.5572,-18.84095035
739,-0.5566,-18.82139497
740,-0.556,-18.80185043
741,-0.5554,-18.78231671
742,-0.5548,-18.76279382
743,-0.5542,-18.74328175
744,-0.5536,-18.72378049
745,-0.553,-18.70429005
746,-0.5524,-18.68481043
747,-0.5518,-18.66534161
748,-0.5512,-18.6458836
749,-0.5506,-18.6264364
750,-0.55,-18.607
751,-0.5494,-18.5875744
752,-0.5488,-18.5681596
753,-0.5482,-18.54875559
754,-0.5476,-18.52936237
755,-0.547,-18.50997995
756,-0.5464,-18.49060831
757,-0.5458,-18.47124745
758,-0.5452,-18.45189738
759,-0.5446,-18.43255809
760,-0.544,-18.41322957
761,-0.5434,-18.39391183
762,-0.5428,-18.37460485
763,-0.5422,-18.35530865
764,-0.5416,-18.33602321
765,-0.541,-18.31674854
766,-0.5404,-18.29748463
767,-0.5398,-18.27823148
768,-0.5392,-18.25898908
769,-0.5386,-18.23975744
770,-0.538,-18.22053654
771,-0.5374,-18.2013264
772,-0.5368,-18.182127
773,-0.5362,-18.16293834
774,-0.5356,-18.14376043
775,-0.535,-18.12459325
776,-0.5344,-18.10543681
777,-0.5338,-18.0862911
778,-0.5332,-18.06715612
779,-0.5326,-18.04803186
780,-0.532,-18.02891834
781,-0.5314,-18.00981553
782,-0.5308,-17.99072344
783,-0.5302,-17.97164208
784,-0.5296,-17.95257142
785,-0.529,-17.93351148
786,-0.5284,-17.91446224
787,-0.5278,-17.89542372
788,-0.5272,-17.8763959
789,-0.5266,-17.85737877
790,-0.526,-17.83837235
791,-0.5254,-17.81937663
792,-0.5248,-17.80039159
793,-0.5242,-17.78141725
794,-0.5236,-17.7624536
795,-0.523,-17.74350063
796,-0.5224,-17.72455835
797,-0.5218,-17.70562675
798,-0.5212,-17.68670582
799,-0.5206,-17.66779558
800,-0.52,-17.648896
801,-0.5194,-17.63000709
802,-0.5188,-17.61112886
803,-0.5182,-17.59226129
804,-0.5176,-17.57340438
805,-0.517,-17.55455813
806,-0.5164,-17.53572253
807,-0.5158,-17.5168976
808,-0.5152,-17.49808331
809,-0.5146,-17.47927968
810,-0.514,-17.46048669
811,-0.5134,-17.44170434
812,-0.5128,-17.42293264
813,-0.5122,-17.40417158
814,-0.5116,-17.38542115
815,-0.511,-17.36668136
816,-0.5104,-17.3479522
817,-0.5098,-17.32923367
818,-0.5092,-17.31052577
819,-0.5086,-17.29182848
820,-0.508,-17.27314182
821,-0.5074,-17.25446578
822,-0.5068,-17.23580036
823,-0.5062,-17.21714554
824,-0.5056,-17.19850134
825,-0.505,-17.17986775
826,-0.5044,-17.16124476
827,-0.5038,-17.14263238
828,-0.5032,-17.12403059
829,-0.5026,-17.10543941
830,-0.502,-17.08685882
831,-0.5014,-17.06828882
832,-0.5008,-17.04972941
833,-0.5002,-17.03118059
834,-0.4996,-17.01264235
835,-0.499,-16.9941147
836,-0.4984,-16.97559762
837,-0.4978,-16.95709113
838,-0.4972,-16.9385952
839,-0.4966,-16.92010985
840,-0.496,-16.90163507
841,-0.4954,-16.88317086
842,-0.4948,-16.86471721
843,-0.4942,-16.84627412
844,-0.4936,-16.82784159
845,-0.493,-16.80941961
846,-0.4924,-16.79100819
847,-0.4918,-16.77260733
848,-0.4912,-16.75421701
849,-0.4906,-16.73583723
850,-0.49,-16.717468
851,-0.4894,-16.69910931
852,-0.4888,-16.68076116
853,-0.4882,-16.66242354
854,-0.4876,-16.64409646
855,-0.487,-16.62577991
856,-0.4864,-16.60747388
857,-0.4858,-16.58917838
858,-0.4852,-16.5708934
859,-0.4846,-16.55261895
860,-0.484,-16.53435501
861,-0.4834,-16.51610158
862,-0.4828,-16.49785867
863,-0.4822,-16.47962627
864,-0.4816,-16.46140437
865,-0.481,-16.44319298
866,-0.4804,-16.42499209
867,-0.4798,-16.4068017
868,-0.4792,-16.38862181
869,-0.4786,-16.37045241
870,-0.478,-16.3522935
871,-0.4774,-16.33414509
872,-0.4768,-16.31600715
873,-0.4762,-16.29787971
874,-0.4756,-16.27976274
875,-0.475,-16.26165625
876,-0.4744,-16.24356024
877,-0.4738,-16.2254747
878,-0.4732,-16.20739963
879,-0.4726,-16.18933503
880,-0.472,-16.1712809
881,-0.4714,-16.15323722
882,-0.4708,-16.13520401
883,-0.4702,-16.11718126
884,-0.4696,-16.09916896
885,-0.469,-16.08116712
886,-0.4684,-16.06317572
887,-0.4678,-16.04519478
888,-0.4672,-16.02722427
889,-0.4666,-16.00926421
890,-0.466,-15.99131459
891,-0.4654,-15.97337541
892,-0.4648,-15.95544666
893,-0.4642,-15.93752834
